date,temperature,precipitation,discharge,TP
2022/4/3,271.6678622,0.001348035,263,
2022/4/4,270.6401202,0.000645053,252,
2022/4/5,270.0002026,0.000972128,,
2022/4/6,271.2670673,2.05E-05,315,
2022/4/7,272.2125168,0.00037961,519,
2022/4/8,271.4522974,2.90E-05,326,
2022/4/9,272.2729265,1.47E-05,,
2022/4/10,273.9858175,0.001843057,319,
2022/4/11,270.8492275,0.000493223,315,
2022/4/12,271.8868099,0.000143778,307,
2022/4/13,272.9243367,0.000313554,311,
2022/4/14,274.64624,0.003609625,311,
2022/4/15,270.8117563,0.002762088,300,
2022/4/16,270.0002381,0.001126482,300,
2022/4/17,267.6933897,0.000236255,274,
2022/4/18,266.0252423,0.000279923,267,
2022/4/19,266.6849218,5.88E-06,260,
2022/4/20,271.4600843,3.12E-05,242,
2022/4/21,272.4606426,0.001352358,224,
2022/4/22,275.2068824,0.001055696,224,
2022/4/23,274.1507313,0.004779486,216,
2022/4/24,272.4435756,0.003160892,227,
2022/4/25,271.0661959,0.002578787,227,
2022/4/26,272.2292368,0.001741506,234,
2022/4/27,268.403982,0.000718034,234,
2022/4/28,271.3233651,0.000781337,252,
2022/4/29,268.3702798,0.000190131,249,
2022/4/30,265.7741414,0.000145801,249,
2022/5/1,266.4692629,1.66E-06,242,
2022/5/2,270.7711674,5.88E-05,227,
2022/5/3,272.5614706,2.62E-05,216,
2022/5/4,275.3823769,1.82E-05,198,
2022/5/5,277.4692036,3.14E-05,195,
2022/5/6,278.881801,0.000466077,191,
2022/5/7,276.7479622,0.00539569,213,0.04575
2022/5/8,273.7589647,0.000299904,234,0.054833333
2022/5/9,277.4777432,0.000951702,267,0.088333333
2022/5/10,273.3826872,0.002981201,281,0.12075
2022/5/11,275.1057068,0.000454696,285,0.2146
2022/5/12,278.1422495,0.001772163,292,0.26675
2022/5/13,275.5034454,0.003271801,285,
2022/5/14,274.845695,0.002165648,288,
2022/5/15,273.5419239,7.80E-05,288,
2022/5/16,278.394732,0.002337836,292,0.244666667
2022/5/17,275.7176255,0.006262932,285,0.1892
2022/5/18,275.3523958,0.001500029,274,0.165666667
2022/5/19,275.2840985,0.003385433,274,0.135333333
2022/5/20,272.456357,0.005205409,271,0.113666667
2022/5/21,271.5326296,0.000456766,267,0.0955
2022/5/22,275.3371235,0.002579379,256,0.076
2022/5/23,276.0145283,0.002528247,263,0.05525
2022/5/24,277.4907032,0.001524689,271,0.139
2022/5/25,280.680245,0.006030814,285,0.1215
2022/5/26,277.5426592,0.008729076,285,0.086666667
2022/5/27,274.972262,0.003298587,303,0.09
2022/5/28,275.4184527,0.0016866,323,0.101333333
2022/5/29,278.9802042,0.003584541,379,
2022/5/30,278.5065806,0.006378056,371,
2022/5/31,278.9811333,0.006354792,383,
2022/6/1,279.7837765,0.003664566,,
2022/6/2,280.102976,0.006736169,490,0.039
2022/6/3,279.6515529,0.005669521,494,
2022/6/4,279.2604392,0.006385294,528,0.254
2022/6/5,279.3566648,0.004364406,581,
2022/6/6,280.4635285,0.005406824,703,
2022/6/7,279.7255794,0.00414953,693,
2022/6/8,279.0290541,0.005673567,639,0.1895
2022/6/9,279.6676701,0.002607473,634,
2022/6/10,278.9343009,0.007319013,557,0.168
2022/6/11,276.3527055,0.001314763,538,0.1425
2022/6/12,278.4440537,0.001062511,561,0.119333333
2022/6/13,280.9858608,0.002909491,538,0.1372
2022/6/14,280.3984777,0.005800225,490,0.113
2022/6/15,278.3622841,0.005539641,499,0.101833333
2022/6/16,280.74467,0.003128828,494,0.1412
2022/6/17,278.3417918,0.005836729,576,0.1575
2022/6/18,280.7933395,0.007680729,648,0.287333333
2022/6/19,281.0743554,0.005562537,703,0.4414
2022/6/20,282.3464997,0.00666179,804,0.522
2022/6/21,282.9389896,0.004857395,809,0.720666667
2022/6/22,283.1286598,0.002944648,916,0.5706
2022/6/23,284.4559823,0.003653453,982,0.68375
2022/6/24,284.6609336,0.006256678,993,
2022/6/25,282.7824172,0.006287823,1080,
2022/6/26,280.247214,0.000781863,1120,
2022/6/27,281.2810352,0.001289736,1420,
2022/6/28,280.9181391,0.001640973,1280,
2022/6/29,280.6386481,0.002023724,1000,
2022/6/30,281.6935983,0.002902402,857,
2022/7/1,280.3566138,0.001723575,1000,0.035
2022/7/2,281.2411943,0.000772228,722,
2022/7/3,282.2751809,0.001660905,673,
2022/7/4,280.6636429,0.000465244,590,0.018
2022/7/5,281.861613,1.63E-05,542,
2022/7/6,283.7979251,3.47E-05,,
2022/7/7,285.8473515,0.000810653,454,
2022/7/8,286.6263942,0.004437372,,
2022/7/9,284.9968884,0.008757022,403,
2022/7/10,282.9464317,0.011727413,408,
2022/7/11,284.3493409,0.009624171,454,0.006333333
2022/7/12,284.5117469,0.005968938,547,
2022/7/13,285.0601006,0.006506368,673,0.038333333
2022/7/14,283.7482141,0.009097229,743,
2022/7/15,284.2955833,0.004543606,949,
2022/7/16,284.8207222,0.006106631,1160,
2022/7/17,283.7537839,0.005792154,1230,
2022/7/18,279.5626947,0.001810615,1370,0.108
2022/7/19,279.800641,0.000221968,1580,0.065
2022/7/20,281.5496279,0.005388261,1400,0.0215
2022/7/21,275.5787733,0.001712693,1300,0.084
2022/7/22,278.3863648,7.65E-05,1130,0.13275
2022/7/23,281.0809823,0.000302404,1110,0.057833333
2022/7/24,281.8567666,0.000979804,987,0.007666667
2022/7/25,282.4845179,0.000178528,846,0.0064
2022/7/26,282.3086024,0.00189848,737,0.005
2022/7/27,281.801145,0.000561912,648,0.011333333
2022/7/28,282.7500269,0.003157026,581,0.0235
2022/7/29,282.2312146,0.002058464,,
2022/7/30,282.8511995,0.004415237,503,
2022/7/31,282.6532499,0.002296307,,
2022/8/1,284.1647565,0.003254886,503,
2022/8/2,284.472452,0.005009857,528,
2022/8/3,284.8886473,0.005038674,538,
2022/8/4,284.511461,0.001810637,653,
2022/8/5,284.809724,0.002175714,703,
2022/8/6,285.3790698,0.003479982,,
2022/8/7,284.985281,0.000904233,732,
2022/8/8,285.6151462,0.000665074,698,
2022/8/9,286.6789911,0.002718363,698,
2022/8/10,286.8454487,0.002940654,668,
2022/8/11,286.5006478,0.005226025,673,
2022/8/12,286.2875486,0.005320971,703,
2022/8/13,285.1993187,0.008147507,,
2022/8/14,284.5741952,0.005586528,773,
2022/8/15,284.4735176,0.004037351,878,
2022/8/16,285.2944728,0.004240239,1040,
2022/8/17,285.176782,0.005175366,1110,
2022/8/18,284.3902327,0.005728912,1100,
2022/8/19,284.0518385,0.003294592,1115,
2022/8/20,284.1593448,0.004591558,1085,
2022/8/21,283.9976438,0.005171849,1120,
2022/8/22,283.8203165,0.002400138,977,
2022/8/23,284.2772834,0.00261675,944,
2022/8/24,285.0134154,0.004471762,891.5,
2022/8/25,284.9957807,0.003780736,852,
2022/8/26,285.0450882,0.005060408,846.5,
2022/8/27,284.3140517,0.007535117,878,
2022/8/28,283.1600099,0.006809563,944,
2022/8/29,282.7325005,0.007003729,1040,
2022/8/30,282.7203248,0.004430184,1180,
2022/8/31,281.409223,0.003630275,1370,
2022/9/1,281.9384677,0.004609232,1480,
2022/9/2,278.1090587,0.005638687,1450,
2022/9/3,277.1043722,0.002986631,1530,
2022/9/4,275.7133074,0.002128754,1515,
2022/9/5,275.8352603,0.001025321,1490,
2022/9/6,278.3559168,0.004960584,1420,
2022/9/7,275.7037519,0.000871904,1310,
2022/9/8,276.1852071,0.000492091,1250,
2022/9/9,276.7409219,0.000389072,1160,
2022/9/10,277.8708746,0.000660625,,
2022/9/11,278.1439973,0.000956269,987,
2022/9/12,280.0860606,0.002575148,916,
2022/9/13,280.330514,0.004845988,857,
